GID	control_0h	experimental_1h	experimental_2h	experimental_4h	control_1h	control_2h	control_4h	experimental_0h
Cre01.g009200	2.36952	3.6665	3.7333	2.04724	2.69601	3.28221	2.29604	3.65214
Cre01.g009250	25.8	39.3817	38.7587	22.6074	21.0567	31.5715	14.8114	21.3102
Cre01.g009300	19.8041	14.2579	12.4012	22.0041	15.2061	13.7971	16.2355	14.5647
Cre01.g009325	0.328696	0.578838	0.564469	0.319954	0.428635	0.466849	0.102215	0.270924
Cre01.g009350	23.2822	20.8075	24.0822	36.3489	35.7688	41.754	17.7226	19.2431
Cre01.g009400	0.147926	0.592789	0.630571	0.116985	0.866496	1.00104	0.108422	1.24741
Cre01.g009450	1.24208	0.866321	0.824464	1.13571	1.01522	0.917608	1.29267	1.14238
Cre01.g009500	0.96972	3.81301	5.15715	0.539557	4.00093	5.2469	0.861405	4.20236
Cre01.g009550	2.13009	2.75833	3.58916	1.91942	3.48344	4.78479	2.48462	3.50878
Cre01.g009575	0.0862131	0.273221	0.184958	0.23607	0.403118	0.167237	0.0659117	0.363715
Cre01.g009650	3.48417	6.77737	5.48388	4.36531	8.37327	4.57532	3.77417	9.74281
Cre01.g009700	4.57972	5.56055	6.39068	4.4817	4.81378	6.86041	3.98253	5.11674
Cre01.g009731	0.727289	0.557139	0.668307	0.689416	0.38216	0.673567	0.480039	0.395542
Cre01.g009765	0.010084	0.617426	0.611506	0.0161014	0.517916	0.5208	0.00821567	0.353388
Cre01.g009800	2.88314	6.32974	3.63513	2.30097	5.74496	3.10917	2.60042	6.55237
Cre01.g009850	2.5578	4.7441	3.61835	2.36299	4.83727	3.53446	2.48015	4.97154
Cre01.g009900	10.1573	46.831	32.8645	14.5756	56.4905	74.0151	39.2888	81.5249
Cre01.g009950	30.9204	10.7363	13.5696	23.7542	9.04322	10.3409	25.622	9.34422
Cre01.g010000	27.681	25.7231	22.9978	26.5622	21.5572	22.7789	25.2477	24.3771
Cre01.g010050	4.64257	3.08533	2.93668	4.9469	3.60954	3.17529	4.25018	3.21709
Cre01.g010100	13.4308	10.0525	6.84421	18.5194	12.2588	11.0322	15.4714	9.85602
Cre01.g010150	0.854615	0.663844	1.07201	0.941457	0.593188	0.960216	0.885887	0.581009
Cre01.g010201	3.45724	1.53496	3.42063	3.60098	1.31729	2.93664	3.72702	1.03989
Cre01.g010250	3.63714	4.64341	3.73769	3.82438	3.73506	3.7855	2.59286	3.02179
Cre01.g010296	34.3066	18.6565	16.6808	23.6488	10.5825	15.3572	9.62153	10.1028
Cre01.g010300	4.25265	4.78631	3.30469	4.31431	2.70492	2.51102	1.58889	1.56037
Cre01.g010350	10.0679	4.43187	3.65008	18.0541	5.96817	3.41772	20.998	5.45467
Cre01.g010400	682.679	1043.46	655.11	1095.07	1519.56	1469.62	1259.13	1280.35
Cre01.g010450	41.1005	28.5349	27.8457	37.9281	20.3886	24.4659	29.7781	18.8598
Cre01.g010500	64.6204	59.1152	66.9859	82.0696	62.0544	69.8332	80.524	36.3837
Cre01.g010550	0.991724	1.74116	1.0675	1.2588	2.22274	1.21418	1.46612	1.92854
Cre01.g010650	0.523528	0.539108	0.488192	0.567076	0.548944	0.608759	0.522483	0.430296
Cre01.g010700	12.0592	24.1556	12.2009	14.222	30.314	14.7519	15.5597	26.4696
