gene_id,gene_symbol
Cre03.g156050,RRF1
Cre03.g156250,POC13
Cre03.g156300,FAP405
Cre03.g156350,OPR15
Cre03.g156600,GTRBP1
Cre03.g156700,FAP185
Cre03.g156750,CCT5
Cre03.g156900,LHCBM5
Cre03.g156950,QCR8
Cre03.g157300,CAF1
Cre03.g157700,COX5C
Cre03.g158000,GSA1
Cre03.g158200,HDA2
Cre03.g158250,SECY2
Cre03.g158400,FAP218
Cre03.g158900,DLA2
Cre03.g159254,AMT1A
Cre03.g159500,ODC1
Cre03.g159650,EFG6
Cre03.g159750,VPS36
Cre03.g160000,HDA3
Cre03.g160050,FAP184
Cre03.g160200,PFH12
Cre03.g160300,RAMP4
Cre03.g160400,SAC1
Cre03.g160450,KATNB1
Cre03.g160500,TSK1
Cre03.g160550,MTP4
Cre03.g160750,MTP3
Cre03.g160800,MTP2
Cre03.g161250,CYP748A1
Cre03.g161400,MAA7
Cre03.g161550,FAP55
Cre03.g162050,HDA4
Cre03.g162100,PIMT2
Cre03.g162250,CGL35
Cre03.g162400,HTR2B
Cre03.g162601,PGP3
Cre03.g162800,LCI1
Cre03.g162850,FAP292
Cre03.g162950,CCDC81
Cre03.g163000,POC5
Cre03.g163300,CDT1
Cre03.g163350,PAN5
Cre03.g163500,EX1
Cre03.g163700,POB26
Cre03.g163950,CDO2
Cre03.g164000,ANR1
Cre03.g164050,KIN15A
Cre03.g164101,LSM7
Cre03.g164250,FAP262
Cre03.g164600,PMA3
Cre03.g164650,MOT56
Cre03.g164950,SRS3
Cre03.g165000,EFG10
Cre03.g165050,PMA4
Cre03.g165100,PSAI1
Cre03.g165215,ATG7
Cre03.g165400,COX16
Cre03.g165700,PDC3
Cre03.g166050,SBD1
Cre03.g166650,CGLD3
Cre03.g166700,FOR1
Cre03.g166900,CYP767A1
Cre03.g167000,SCE2
Cre03.g167550,POC3
Cre03.g167600,FAP61
Cre03.g167778,FAP382
Cre03.g168200,FAP69
Cre03.g168400,OPR134
Cre03.g168450,CCT8
Cre03.g168800,KIN4A
Cre03.g169400,UXS1
Cre03.g169500,FLS2
Cre03.g169550,AOX2
Cre03.g169750,FAP371
Cre03.g169850,TSC1
Cre03.g170350,SEC12
Cre03.g170550,POC4
Cre03.g170750,RNP3
Cre03.g170850,MMP19
Cre03.g171300,GYX1
Cre03.g171350,SEC61A
Cre03.g171461,HEMN1
Cre03.g171550,SSA13
Cre03.g171600,XPP1
Cre03.g171800,FAP123
Cre03.g171900,FAP56
Cre03.g171950,PEPC2
Cre03.g172000,KAR1
Cre03.g172050,TFB4
Cre03.g172100,PDF1A
Cre03.g172300,PHT3A
Cre03.g172500,PTOX2
Cre03.g172550,PRMT1
Cre03.g172650,BLD2
Cre03.g172850,OASTL3
Cre03.g173200,ERV1B
Cre03.g173750,POB19
Cre03.g173800,PDX2
Cre03.g174000,EFG11
Cre03.g174250,FAP111
Cre03.g174400,CDO1
Cre03.g174476,CYCC1
Cre03.g174500,HDZ1
Cre03.g174750,CYN26B
Cre03.g174850,CGL111
Cre03.g175000,RPH3
Cre03.g175050,TRP13
Cre03.g175200,TOC75
Cre03.g175250,SQS1
Cre03.g175400,PGI1
Cre03.g175800,RRM16
Cre03.g176250,ATPVD1
Cre03.g176350,PLAP5
Cre03.g176550,PRMT5
Cre03.g176600,FAP374
Cre03.g176651,MYSM1
Cre03.g176700,MRPS29
Cre03.g176800,FPG1
Cre03.g176833,NAP1
Cre03.g177200,CRB3
Cre03.g177700,NIT2
Cre03.g177900,MTX1
Cre03.g178100,MOT51
Cre03.g178150,RSP20
Cre03.g178200,CCT10
Cre03.g178250,NUOS6
Cre03.g178350,FAP272
Cre03.g178450,CPN10
Cre03.g178500,RIB43
Cre03.g178600,TOP1
Cre03.g178650,MCM6
Cre03.g178900,PRD1
Cre03.g179000,RAA16
Cre03.g179550,TF2H2
Cre03.g179800,LCI24
Cre03.g179901,MRPL116
Cre03.g179961,POLE1
Cre03.g180100,UNG2
Cre03.g180250,INO1
Cre03.g180300,SIR3
Cre03.g180350,CKS1
Cre03.g180450,FAP215
Cre03.g180550,FPN2
Cre03.g180600,FPN3
Cre03.g180650,DEG7
Cre03.g180700,BOL1
Cre03.g180750,METE1
Cre03.g180850,SEC23A
Cre03.g181150,LC8
Cre03.g181250,CGLD13
Cre03.g181300,SHKG1
Cre03.g181350,MRPL17
Cre03.g181400,ADC1
Cre03.g181450,POB7
Cre03.g181500,DPE1
Cre03.g182050,LCS1
Cre03.g182100,ITPK1
Cre03.g182500,SRP72
Cre03.g182551,PCY1
Cre03.g182600,CPL1
Cre03.g182650,PGA1
Cre03.g182800,AGT2
Cre03.g183050,MGT1
Cre03.g183100,TIM22B
Cre03.g183200,CPC1
Cre03.g183700,GSL3
Cre03.g183750,OPR16
Cre03.g183850,FDX6
Cre03.g184550,LPA3
Cre03.g184600,RWP7
Cre03.g184651,RAD51D
Cre03.g185000,CALS2
Cre03.g185050,FAP53
Cre03.g185200,CPL3
Cre03.g185250,SSS2
Cre03.g185350,CALS1
Cre03.g185500,VIP1
Cre03.g185550,SBP1
Cre03.g185600,OGD3
Cre03.g185650,FAP251
Cre03.g186200,PCT1
Cre03.g186300,DII2
Cre03.g186400,SCR1
